team_id,team_name,season,conference,kenpom_coach,kenpom_coach_tenure_years_available,coach_changed,coach_change_status,team_match_type,team_match_score,hoopdirt_school,hoopdirt_conference,former_coach,new_coach,former_coach_matches_kenpom,former_coach_match_type,new_coach_known,new_coach_seen_in_kenpom_history,new_coach_last_seen_team_id,new_coach_last_seen_team_name,new_coach_last_seen_conference,new_coach_last_seen_season,hoopdirt_row_id,source_url,captured_at
1,Abilene Christian,2026,WAC,Brette Tanner,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
2,Air Force,2026,MWC,Joe Scott,2,True,changed_known_new_coach,canonical_team_name,1.0,Air Force,Mountain West,Joe Scott,Joe Crispin,True,exact_normalized,True,False,,,,,4691,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
3,Akron,2026,MAC,John Groce,2,True,changed_known_new_coach,canonical_team_name,1.0,Akron,MAC,John Groce,Dustin Ford,True,exact_normalized,True,False,,,,,4804,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
4,Alabama,2026,SEC,Nate Oats,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
5,Alabama A&M,2026,SWAC,Donte Jackson,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
6,Alabama St.,2026,SWAC,Tony Madlock,2,True,changed_known_new_coach,canonical_team_name,1.0,Alabama State,SWAC,Tony Madlock,Chris Wright,True,exact_normalized,True,False,,,,,4798,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
7,Albany,2026,AE,Dwayne Killings,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
8,Alcorn St.,2026,SWAC,Jake Morton,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
9,American,2026,PL,Duane Simpkins,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
10,Appalachian St.,2026,SB,Dustin Kerns,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
11,Arizona,2026,B12,Tommy Lloyd,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
12,Arizona St.,2026,B12,Bobby Hurley,2,True,changed_known_new_coach,canonical_team_name,1.0,Arizona State,Big 12,Bobby Hurley,Randy Bennett,True,exact_normalized,True,True,247,Saint Mary's,WCC,2026,4751,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
13,Arkansas,2026,SEC,John Calipari,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
15,Arkansas Pine Bluff,2026,SWAC,Solomon Bozeman,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
16,Arkansas St.,2026,SB,Ryan Pannone,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
17,Army,2026,PL,Kevin Kuwik,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
18,Auburn,2026,SEC,Steven Pearl,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
19,Austin Peay,2026,ASun,Corey Gipson,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
35,BYU,2026,B12,Kevin Young,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
20,Ball St.,2026,MAC,Mike Lewis,2,True,changed_known_new_coach,canonical_team_name,1.0,Ball State,MAC,Michael Lewis,Chris Capko,True,first_last,True,False,,,,,4738,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
21,Baylor,2026,B12,Scott Drew,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
360,Bellarmine,2026,ASun,Doug Davenport,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
22,Belmont,2026,MVC,Casey Alexander,2,True,changed_known_new_coach,canonical_team_name,1.0,Belmont,MVC,Casey Alexander,Evan Bradds,True,exact_normalized,True,False,,,,,4762,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
23,Bethune Cookman,2026,SWAC,Reggie Theus,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
24,Binghamton,2026,AE,Levell Sanders,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
25,Boise St.,2026,MWC,Leon Rice,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
26,Boston College,2026,ACC,Earl Grant,2,True,changed_known_new_coach,canonical_team_name,1.0,Boston College,ACC,Earl Grant,Luke Murray,True,exact_normalized,True,False,,,,,4743,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
27,Boston University,2026,PL,Joe Jones,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
28,Bowling Green,2026,MAC,Todd Simon,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
29,Bradley,2026,MVC,Brian Wardle,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
30,Brown,2026,Ivy,Mike Martin,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
31,Bryant,2026,AE,Jamion Christian,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
32,Bucknell,2026,PL,John Griffin,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
33,Buffalo,2026,MAC,George Halcovage,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
34,Butler,2026,BE,Thad Matta,2,True,changed_known_new_coach,canonical_team_name,1.0,Butler,Big East,Thad Matta,Ronald Nored,True,exact_normalized,True,False,,,,,4765,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
39,CSUN,2026,BW,Andy Newman,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
357,Cal Baptist,2026,WAC,Rick Croy,2,True,changed_known_new_coach,canonical_team_name,1.0,Cal Baptist,WAC,Rick Croy,Kyle Getter,True,exact_normalized,True,False,,,,,4800,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
36,Cal Poly,2026,BW,Mike DeGeorge,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
37,Cal St. Bakersfield,2026,BW,Mike Scott,1,True,changed_known_new_coach,canonical_team_name,1.0,Cal State Bakersfield,Big West,Mike Scott (INTERIM),Todd Lee,True,exact_normalized,True,False,,,,,4709,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
38,Cal St. Fullerton,2026,BW,Dedrique Taylor,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
40,California,2026,ACC,Mark Madsen,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
41,Campbell,2026,CAA,John Andrzejek,1,True,changed_known_new_coach,canonical_team_name,1.0,Campbell,CAA,John Andrzejek,Jimmie WIlliams,True,exact_normalized,True,False,,,,,4811,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
42,Canisius,2026,MAAC,Jim Christian,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
43,Central Arkansas,2026,ASun,John Shulman,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
44,Central Connecticut,2026,NEC,Patrick Sellers,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
45,Central Michigan,2026,MAC,Andy Bronkema,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
55,Charleston,2026,CAA,Chris Mack,2,True,changed_known_new_coach,canonical_team_name,1.0,College of Charleston,CAA,Chris Mack,John Groce,True,exact_normalized,True,True,3,Akron,MAC,2026,4792,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
46,Charleston Southern,2026,BSth,Saah Nimley,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
47,Charlotte,2026,Amer,Aaron Fearne,2,True,changed_known_new_coach,canonical_team_name,1.0,Charlotte,American,Aaron Fearne,Wes Miller,True,exact_normalized,True,True,50,Cincinnati,B12,2026,4767,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
48,Chattanooga,2026,SC,Dan Earl,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
49,Chicago St.,2026,NEC,Landon Bussie,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
50,Cincinnati,2026,B12,Wes Miller,2,True,changed_known_new_coach,canonical_team_name,1.0,Cincinnati,Big 12,Wes Miller,Jerrod Calhoun,True,exact_normalized,True,True,320,Utah St.,MWC,2026,4764,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
51,Clemson,2026,ACC,Brad Brownell,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
52,Cleveland St.,2026,Horz,Rob Summers,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
53,Coastal Carolina,2026,SB,Justin Gray,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
54,Colgate,2026,PL,Matt Langel,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
56,Colorado,2026,B12,Tad Boyle,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
57,Colorado St.,2026,MWC,Ali Farokhmanesh,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
58,Columbia,2026,Ivy,Kevin Hovde,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
59,Connecticut,2026,BE,Dan Hurley,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
60,Coppin St.,2026,MEAC,Larry Stewart,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
61,Cornell,2026,Ivy,Jon Jaques,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
62,Creighton,2026,BE,Greg McDermott,2,True,changed_known_new_coach,canonical_team_name,1.0,Creighton,Big East,Greg McDermott,Alan Huss,True,exact_normalized,True,True,110,High Point,BSth,2025,4782,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
63,Dartmouth,2026,Ivy,Dave McLaughlin,2,True,changed_known_new_coach,canonical_team_name,1.0,Dartmouth,Ivy League,David McLaughlin,Brett MacConnell,True,first_last,True,False,,,,,4752,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
64,Davidson,2026,A10,Matt McKillop,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
65,Dayton,2026,A10,Anthony Grant,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
69,DePaul,2026,BE,Chris Holtmann,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
66,Delaware,2026,CUSA,Martin Ingelsby,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
67,Delaware St.,2026,MEAC,Stan Waterman,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
68,Denver,2026,Sum,Tim Bergstraser,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
70,Detroit Mercy,2026,Horz,Mark Montgomery,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
71,Drake,2026,MVC,Eric Henderson,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
72,Drexel,2026,CAA,Zach Spiker,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
73,Duke,2026,ACC,Jon Scheyer,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
74,Duquesne,2026,A10,Dru Joyce,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
75,East Carolina,2026,Amer,Mike Schwartz,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
76,East Tennessee St.,2026,SC,Brooks Savage,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
369,East Texas A&M,2026,Slnd,Jaret Von Rosenberg,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
77,Eastern Illinois,2026,OVC,Marty Simmons,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
78,Eastern Kentucky,2026,ASun,A.W. Hamilton,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
79,Eastern Michigan,2026,MAC,Stan Heath,2,True,changed_known_new_coach,canonical_team_name,1.0,Eastern Michigan,MAC,Stan Heath,Billy Donlon,True,exact_normalized,True,False,,,,,4742,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
80,Eastern Washington,2026,BSky,Dan Monson,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
81,Elon,2026,CAA,Billy Taylor,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
82,Evansville,2026,MVC,David Ragland,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
85,FIU,2026,CUSA,Jeremy Ballard,2,True,changed_known_new_coach,canonical_team_name,1.0,FIU,CUSA,Jeremy Ballard,Joey Cantens,True,exact_normalized,True,False,,,,,4754,https://hoopdirt.com/2026-coaching-changes-tracker/,2026-04-13T23:57:19+00:00
83,Fairfield,2026,MAAC,Chris Casey,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
84,Fairleigh Dickinson,2026,NEC,Jack Castleberry,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
86,Florida,2026,SEC,Todd Golden,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
87,Florida A&M,2026,SWAC,Charlie Ward,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
88,Florida Atlantic,2026,Amer,John Jakus,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
89,Florida Gulf Coast,2026,ASun,Pat Chambers,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
90,Florida St.,2026,ACC,Luke Loucks,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
91,Fordham,2026,A10,Mike Magpayo,1,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
92,Fresno St.,2026,MWC,Vance Walberg,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
93,Furman,2026,SC,Bob Richey,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
94,Gardner Webb,2026,BSth,Jeremy Luther,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
95,George Mason,2026,A10,Tony Skinn,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
96,George Washington,2026,A10,Chris Caputo,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
97,Georgetown,2026,BE,Ed Cooley,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
98,Georgia,2026,SEC,Mike White,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
99,Georgia Southern,2026,SB,Charlie Henry,2,False,no_change_listed,no_match,,,,,,False,not_applicable,False,False,,,,,,,
