coach,coach_key,last_seen_season,last_seen_team_id,last_seen_team_name,last_seen_conference,coach_prior_seasons,coach_prior_program_count,coach_prior_win_pct,coach_prior_avg_adj_em,coach_prior_last3_avg_adj_em,coach_prior_last5_avg_adj_em,coach_prior_best_adj_em,coach_prior_avg_adj_em_over_expected,coach_prior_last3_avg_adj_em_over_expected,coach_prior_last5_avg_adj_em_over_expected,coach_prior_best_adj_em_over_expected,coach_prior_worst_adj_em_over_expected,coach_prior_positive_adj_em_over_expected_rate,coach_prior_big_overperform_rate,coach_prior_big_underperform_rate,coach_prior_avg_rank_over_expected,coach_prior_avg_rank_adj_em,coach_prior_best_rank_adj_em,coach_prior_top25_rate,coach_prior_top50_rate,coach_prior_top100_rate,coach_prior_ncaa_bid_rate,coach_prior_avg_seed,coach_prior_avg_sos,coach_prior_avg_ncsos,coach_prior_same_school_seasons,coach_prior_same_school_avg_adj_em,coach_prior_same_school_avg_adj_em_over_expected,coach_prior_same_school_last_adj_em,coach_prior_same_school_last_adj_em_over_expected,coach_first_year_at_school,coach_prior_last_season,coach_prior_last_season_gap,coach_prior_last_team_id,coach_prior_last_team_name,coach_prior_last_conference,coach_prior_last_adj_em,coach_prior_last_rank_adj_em,coach_prior_last_adj_em_over_expected,coach_prior_last_rank_over_expected
A.W. Hamilton,a w hamilton,2026,78,Eastern Kentucky,ASun,8,1,0.51953125,-5.1099875,-5.9700999999999995,-4.92782,1.2212,0.2623500000000001,-2.7325,-0.5634599999999998,8.9092,-8.3401,0.5,0.25,0.25,5.0,224.125,149,0.0,0.0,0.0,0.0,0.0,-3.881475,0.1917625,0,,,,,False,2026,,78,Eastern Kentucky,ASun,-11.6461,297,-8.3401,-108
Aaron Fearne,aaron fearne,2026,47,Charlotte,Amer,3,1,0.47959183673469385,-1.4643999999999997,-1.4643999999999997,-1.4643999999999997,4.6519,-1.3816,-1.3816,-1.3816,4.831,-11.1363,0.6666666666666666,0.0,0.3333333333333333,-21.666666666666668,186.33333333333334,120,0.0,0.0,0.0,0.0,0.0,0.9548,-0.9289999999999999,0,,,,,False,2026,,47,Charlotte,Amer,-1.1552,182,2.1605,8
Aaron McKie,aaron mckie,2023,284,Temple,Amer,4,1,0.48148148148148145,4.331525,3.9461333333333335,4.331525,5.4877,-1.224,-1.2651999999999999,-1.224,1.4181,-3.4387,0.25,0.0,0.0,-14.0,123.5,115,0.0,0.0,0.0,0.0,0.0,5.906625,-2.7514,0,,,,,False,2023,,284,Temple,Amer,4.6603,120,-3.4387,-28
Adam Fisher,adam fisher,2026,284,Temple,Amer,3,1,0.49,-0.7042333333333333,-0.7042333333333333,-0.7042333333333333,0.7807,-1.9320666666666666,-1.9320666666666666,-1.9320666666666666,-0.8744,-2.7133,0.0,0.0,0.0,-24.333333333333332,171.0,159,0.0,0.0,0.0,0.0,0.0,0.1572333333333333,-2.397666666666667,0,,,,,False,2026,,284,Temple,Amer,0.7807,159,-0.8744,-28
Adrian Autry,adrian autry,2026,282,Syracuse,ACC,3,1,0.5051546391752577,7.942899999999999,7.942899999999999,7.942899999999999,10.2602,-1.520833333333333,-1.520833333333333,-1.520833333333333,5.7624,-7.7627,0.3333333333333333,0.3333333333333333,0.3333333333333333,-13.666666666666666,94.0,80,0.0,0.0,0.6666666666666666,0.0,0.0,9.780233333333333,1.1830666666666667,0,,,,,False,2026,,282,Syracuse,ACC,9.3507,87,-2.5622,-19
Aki Thomas,aki thomas,2016,309,UMBC,AE,1,1,0.21875,-17.7921,-17.7921,-17.7921,-17.7921,-4.6709,-4.6709,-4.6709,-4.6709,-4.6709,0.0,0.0,0.0,-5.0,334.0,334,0.0,0.0,0.0,0.0,0.0,-6.7578,-6.2261,0,,,,,False,2016,,309,UMBC,AE,-17.7921,334,-4.6709,-5
Al Skinner,al skinner,2019,135,Kennesaw St.,ASun,4,1,0.328,-11.9528,-13.080733333333333,-11.9528,-7.5183,1.0517750000000001,-0.9041,1.0517750000000001,6.9194,-4.6189,0.5,0.25,0.0,28.5,290.25,252,0.0,0.0,0.0,0.0,0.0,-2.460475,2.37255,0,,,,,False,2019,,135,Kennesaw St.,ASun,-18.9053,339,-4.6189,-11
Alan Huss,alan huss,2025,110,High Point,BSth,2,1,0.7887323943661971,7.23815,7.23815,7.23815,9.1508,9.153599999999999,9.153599999999999,9.153599999999999,14.3943,3.9129,1.0,0.5,0.0,97.0,98.0,82,0.0,0.0,0.5,0.5,6.5,-4.3664,-5.1278500000000005,0,,,,,False,2025,,110,High Point,BSth,9.1508,82,3.9129,26
Alex Jensen,alex jensen,2026,319,Utah,B12,1,1,0.3125,3.5468,3.5468,3.5468,3.5468,-7.5522,-7.5522,-7.5522,-7.5522,-7.5522,0.0,0.0,1.0,-54.0,128.0,128,0.0,0.0,0.0,0.0,0.0,11.7731,-0.0783,0,,,,,False,2026,,319,Utah,B12,3.5468,128,-7.5522,-54
Alex Pribble,alex pribble,2026,116,Idaho,BSky,3,1,0.45544554455445546,-7.585633333333334,-7.585633333333334,-7.585633333333334,0.9952,4.4217,4.4217,4.4217,7.5571,-0.9401,0.6666666666666666,0.6666666666666666,0.0,43.0,252.33333333333334,155,0.0,0.0,0.0,0.3333333333333333,5.0,-2.811533333333333,-0.21116666666666664,0,,,,,False,2026,,116,Idaho,BSky,0.9952,155,7.5571,89
