competition_id,team_id,team_market,team_name,conference_id,player_id,player_name,class_year,position,height,status,next_team_id,next_team_market,prior_team_id,prior_team_market,is_transfer,is_draft_prospect,will_transfer,in_portal_after_season,games_played,games_started,minutes,possessions,points,field_goal_attempts,free_throw_attempts,assists,offensive_rebounds,defensive_rebounds,rebounds,steals,blocks,turnovers,personal_fouls,usage_pct,ortg_player,drtg_player,effective_fg_pct,true_shooting_pct,assist_pct,offensive_rebound_pct,defensive_rebound_pct,rebound_pct,steal_pct,block_pct,turnover_pct,per,warp,warp_per_40,win_shares,offensive_win_shares,defensive_win_shares,win_shares_per_40,rapm,offensive_rapm,defensive_rapm
41097,103257,Purdue,Boilermakers,73,1637511,Liam Murphy,Senior,F,80,senior_eligibility_review,,,104001,North Florida,True,False,False,False,12,0,89.21,144.03,28.0,27,0,3,2,9,11,1,0,0,8,0.15872,,113.98,0.51852,0.51852,0.05073,0.03023,0.11421,0.07588,0.00696,0,0,10.7933,0.07447,0.0334,,,0.0854,,-1.165,-0.677,-0.488
41097,103257,Purdue,Boilermakers,73,1693954,Trey Kaufman-Renn,Senior,F,81,draft_prospect_review,,,103257,Purdue,False,True,False,False,37,37,1041.2,1654.858,524.0,393,107,94,106,202,308,14,8,52,84,0.24884,126.26,109.01,0.58015,0.59532,0.17183,0.13285,0.24109,0.18829,0.00844,0.0097,0.10567,24.446,5.44313,0.2091,4.8614,3.402,1.4594,0.1868,5.87,4.803,1.067
41097,103257,Purdue,Boilermakers,73,1911404,Fletcher Loyer,Senior,G,76,draft_prospect_review,,,103257,Purdue,False,True,False,False,39,39,1143.24,1818.412,548.0,369,119,80,7,84,91,28,2,39,45,0.21197,133.72,113.41,0.60163,0.65021,0.11691,0.00793,0.08977,0.05005,0.01537,0.00218,0.08472,19.0376,4.76988,0.1669,4.7555,3.6033,1.1522,0.1664,9.292,4.871,4.421
41097,103257,Purdue,Boilermakers,73,1911492,Braden Smith,Senior,G,72,draft_prospect_review,,,103257,Purdue,False,True,False,False,39,39,1344.45,2133.897,557.0,448,120,345,25,113,138,66,8,113,62,0.24032,121.49,109.11,0.51116,0.55611,0.42966,0.02409,0.10268,0.06454,0.0308,0.00743,0.1841,21.3041,7.18676,0.2138,5.8004,3.9282,1.8722,0.1726,5.983,5.573,0.41
41097,103257,Purdue,Boilermakers,73,1936195,Jack Lusk,Junior,G,76,probable_returner,,,103257,Purdue,False,False,False,False,9,0,18.62,31.281,0.0,0,0,0,0,3,3,0,0,1,3,0.02769,,112.58,,,0,0,0.17314,0.09915,0,0,1,-2.9008,-0.13828,-0.2971,,,0.0202,,,,
41097,103257,Purdue,Boilermakers,73,2093260,Oscar Cluff,Senior,F,83,senior_eligibility_review,,,104233,South Dakota St.,True,False,False,False,39,39,964.71,1532.069,414.0,240,123,69,130,162,292,19,36,31,107,0.1774,148.36,107.1,0.68333,0.70384,0.12466,0.17458,0.20516,0.19032,0.01236,0.04657,0.09535,27.1095,7.70056,0.3193,5.7324,4.2147,1.5176,0.2377,6.996,5.481,1.515
41097,103257,Purdue,Boilermakers,73,2106194,Jace Rayl,Junior,G,70,probable_returner,,,103257,Purdue,False,False,False,False,8,0,15.47,26.008,0.0,2,0,0,0,0,0,0,0,0,2,0.06626,,119.91,0,0,0,0,0,0,0,0,0,-7.7637,-0.134,-0.3465,,,0.0066,,,,
41097,103257,Purdue,Boilermakers,73,2334058,Gicarri Harris,Sophomore,G,75,probable_returner,,,103257,Purdue,False,False,False,False,39,0,613.76,981.231,178.0,142,36,32,12,50,62,33,3,12,41,0.14566,125.62,108.55,0.51761,0.56401,0.0801,0.02533,0.09953,0.06352,0.03373,0.0061,0.07065,13.8525,1.46198,0.0953,1.9441,1.0583,0.8858,0.1267,-0.66,-0.81,0.15
41097,103257,Purdue,Boilermakers,73,2334059,Jack Benter,Freshman,G,78,probable_returner,,,103257,Purdue,False,False,False,False,38,2,557.28,887.636,166.0,121,23,31,29,68,97,15,2,17,57,0.1399,130.19,110.5,0.6281,0.6331,0.08671,0.06737,0.14887,0.10932,0.01688,0.0045,0.11477,14.4765,1.5243,0.1094,1.844,1.137,0.707,0.1324,4.127,1.617,2.51
41097,103257,Purdue,Boilermakers,73,2334060,C.J. Cox,Sophomore,G,75,probable_returner,,,103257,Purdue,False,False,False,False,39,39,952.96,1514.182,330.0,258,38,49,31,77,108,20,4,12,48,0.15838,134.77,113.36,0.57752,0.60066,0.08294,0.04214,0.09871,0.07126,0.01317,0.00524,0.04185,15.3482,2.25589,0.0947,3.2862,2.3219,0.9643,0.1379,6.744,4.574,2.17
41097,103257,Purdue,Boilermakers,73,2334062,Daniel Jacobsen,Sophomore,F,88,draft_prospect_review,,,103257,Purdue,False,True,False,False,39,0,503.33,808.718,214.0,127,75,13,44,74,118,3,47,22,73,0.19034,129.45,105.95,0.65748,0.66875,0.04447,0.11325,0.17962,0.14741,0.00374,0.11654,0.12088,22.2175,2.80493,0.2229,2.2024,1.3587,0.8437,0.175,0.411,-0.052,0.463
41097,103257,Purdue,Boilermakers,73,2334063,Aaron Fine,Freshman,G,74,in_portal_uncommitted_or_pending,,,103257,Purdue,False,False,False,True,9,0,23.06,38.637,11.0,10,2,3,0,0,0,0,0,2,4,0.28794,99.11,119.71,0.5,0.50459,0.21391,0,0,0,0,0,0.15528,8.7657,-0.13513,-0.2344,0.0165,0.0062,0.0102,0.0286,,,
41097,103257,Purdue,Boilermakers,73,2486713,Omer Mayer,Freshman,G,76,probable_returner,,,,,False,False,False,False,39,0,557.69,891.824,214.0,194,23,45,3,39,42,15,0,35,32,0.2257,103.28,113.27,0.51289,0.52425,0.13441,0.00697,0.08544,0.04735,0.01687,0,0.14637,11.058,-0.61667,-0.0442,0.8986,0.3295,0.5691,0.0645,0.95,1.335,-0.385
41097,103258,A&M-Corpus Christi,Islanders,72,1606057,DA Houston,Senior,G,74,senior_eligibility_review,,,103473,Coastal Carolina,True,False,False,False,25,14,518.92,848.144,213.0,166,76,70,7,26,33,14,6,56,67,0.25717,98.44,108.83,0.49096,0.5341,0.29262,0.01589,0.06148,0.03822,0.01642,0.01365,0.21923,11.3088,0.06759,0.0052,0.8253,0.0902,0.735,0.0636,-0.235,-1.14,0.905
41097,103258,A&M-Corpus Christi,Islanders,72,1704955,Mason Gibson,Senior,G,72,senior_eligibility_review,,,103846,Midwestern St.,True,False,False,False,26,13,576.13,940.797,245.0,196,68,27,9,39,48,28,2,26,35,0.22826,109.42,106.05,0.5,0.54228,0.10188,0.01838,0.08303,0.05004,0.02978,0.00417,0.10321,14.927,1.68921,0.1173,1.6386,0.6791,0.9595,0.1138,-0.081,-0.04,-0.041
41097,103258,A&M-Corpus Christi,Islanders,72,1917964,Jamal Ambrose,Junior,F,82,probable_returner,,,,,False,False,False,False,11,0,48.35,81.287,6.0,7,1,1,1,1,2,3,1,3,9,0.10789,66.07,104.64,0.42857,0.40541,0.03494,0.02278,0.02461,0.02366,0.03767,0.02435,0.28736,1.9477,-0.26566,-0.2198,0.0109,-0.0757,0.0866,0.009,-0.959,-0.968,0.009
41097,103258,A&M-Corpus Christi,Islanders,72,1927662,Franck Yetna,Senior,F,79,senior_eligibility_review,,,103814,Lincoln (MO),True,False,False,False,29,13,534.97,879.835,182.0,143,42,31,38,51,89,19,12,20,56,0.17732,117.93,105.17,0.53846,0.56347,0.12457,0.0835,0.11703,0.0999,0.02173,0.02653,0.1102,16.3939,2.04506,0.1529,1.823,0.8899,0.9331,0.1363,-0.923,-0.577,-0.346
41097,103258,A&M-Corpus Christi,Islanders,72,1947531,Leo Torbor,Senior,G,75,senior_eligibility_review,,,103258,A&M-Corpus Christi,False,False,False,False,29,15,567.26,926.174,133.0,128,54,45,11,42,53,36,13,39,57,0.17578,85.32,102.41,0.41797,0.43808,0.15903,0.0228,0.09089,0.05611,0.03882,0.02711,0.20445,8.9279,-0.86947,-0.0613,0.6021,-0.5274,1.1296,0.0425,-1.303,-3.346,2.043
41097,103258,A&M-Corpus Christi,Islanders,72,1955614,Cenker Evran,Junior,F,80,probable_returner,,,103571,Edinboro,True,False,False,False,23,16,521.43,829.017,137.0,95,45,21,53,67,120,12,8,23,46,0.14049,118.23,105.87,0.56842,0.59669,0.08275,0.12553,0.15557,0.1407,0.01429,0.01817,0.16691,14.9835,0.76624,0.0588,1.6141,0.7375,0.8766,0.1238,1.778,-0.228,2.006
41097,103258,A&M-Corpus Christi,Islanders,72,2117021,Kam Parker,Senior,G,74,senior_eligibility_review,,,103258,A&M-Corpus Christi,False,False,False,False,22,6,383.02,629.017,85.0,85,24,32,8,33,41,10,2,18,38,0.15456,96.03,107.9,0.38824,0.44456,0.15846,0.02431,0.10415,0.06348,0.01602,0.00605,0.15851,7.3236,-0.45819,-0.0479,0.5499,-0.0247,0.5746,0.0574,-2.281,-1.74,-0.541
41097,103258,A&M-Corpus Christi,Islanders,72,2305463,Sheldon Williams,Senior,F,80,senior_eligibility_review,,,103258,A&M-Corpus Christi,False,False,False,False,29,27,773.01,1258.216,348.0,250,113,29,56,145,201,22,12,47,87,0.23445,112.12,102.4,0.55,0.58058,0.089,0.08516,0.23027,0.15615,0.01741,0.01836,0.13556,19.2936,3.12586,0.1618,2.7405,1.2008,1.5398,0.1418,1.386,0.754,0.632
41097,103258,A&M-Corpus Christi,Islanders,72,2305464,Kayden Crosby,Junior,F,79,probable_returner,,,103258,A&M-Corpus Christi,False,False,False,False,3,0,5.85,10.251,3.0,2,0,0,0,0,0,0,0,0,0,0.17693,,116,0.75,0.75,0,0,0,0,0,0,0,18.7201,0.03326,0.2274,,,0.0045,,,,
41097,103258,A&M-Corpus Christi,Islanders,72,2306705,Nicholas Shogbonyo,Senior,G,73,senior_eligibility_review,,,103535,Denver,True,False,False,False,25,23,706.69,1145.24,304.0,207,105,33,13,73,86,24,0,45,64,0.22215,112.86,106.46,0.52899,0.60032,0.09801,0.02241,0.12614,0.07421,0.02087,0,0.15091,14.944,1.79323,0.1015,2.2037,1.0529,1.1508,0.1247,0.816,-0.06,0.876
41097,103258,A&M-Corpus Christi,Islanders,72,2558060,Devon Kobi Pearson,Freshman,F,80,in_portal_uncommitted_or_pending,,,,,False,False,False,True,28,0,226.91,378.376,80.0,53,38,7,14,28,42,6,5,19,39,0.20517,98.35,104.8,0.57547,0.57389,0.06583,0.07392,0.15306,0.1128,0.01619,0.02632,0.21416,11.7336,-0.16604,-0.0293,0.4323,0.029,0.4033,0.0762,-1.564,-1.944,0.38
41097,103258,A&M-Corpus Christi,Islanders,72,2558061,Bryson Wheatfall,Freshman,G,76,probable_returner,,,,,False,False,False,False,24,5,254.6,424.527,70.0,79,20,13,15,22,37,11,6,8,33,0.19495,93.35,104.35,0.36709,0.39863,0.10809,0.06665,0.10663,0.08577,0.02611,0.02757,0.08351,9.9001,-0.31844,-0.05,0.3847,-0.0781,0.4628,0.0604,-1.96,-1.579,-0.381
41097,103258,A&M-Corpus Christi,Islanders,72,2558062,Daniel Michelini-Jackson,Junior,G,77,probable_returner,,,,,False,False,False,False,26,11,443.87,720.881,113.0,100,30,30,14,66,80,14,4,29,31,0.16722,96.66,104.34,0.43,0.49912,0.13098,0.03712,0.18609,0.10931,0.01931,0.01076,0.20394,10.2483,0.2185,0.0197,0.7972,-0.0101,0.8073,0.0718,-0.165,0.147,-0.312
41097,103258,A&M-Corpus Christi,Islanders,72,2558064,Jaden Haire,Junior,F,79,in_portal_uncommitted_or_pending,,,,,False,False,False,True,22,2,212.62,360.199,50.0,42,29,8,14,22,36,1,2,17,23,0.17335,85.96,109.66,0.38095,0.4562,0.07578,0.07358,0.12718,0.0991,0.00283,0.011,0.2369,5.423,-0.98204,-0.1848,0.0943,-0.1912,0.2854,0.0177,-4.079,-2.883,-1.196
41097,103258,A&M-Corpus Christi,Islanders,72,2558067,Trenton Pane,Freshman,G,70,probable_returner,,,,,False,False,False,False,2,0,3.93,6.632,4.0,3,0,0,0,1,1,0,0,1,0,0.5084,,104.75,0.66667,0.66667,0,0,0.32311,0.16156,0,0,0.25,27.1939,-0.00547,-0.0557,,,0.007,,,,
41097,103258,A&M-Corpus Christi,Islanders,72,2558069,Cedric Horton,Freshman,G,77,probable_returner,,,,,False,False,False,False,9,0,47.44,84.522,14.0,13,0,3,0,3,3,3,3,1,9,0.14406,,99.99,0.53846,0.53846,0.13511,0,0.08214,0.03618,0.03647,0.07304,0.07143,14.0598,0.17112,0.1443,,,0.1047,,-0.322,0.146,-0.468
