source_season,season,team,team_key,source_team,source_team_key,player_id,player_name,class_year,position,height,source_context_multiplier,transfer_match_method,ledger_player_name,ledger_source_team,ledger_destination_team,source_kenpom_adj_em,source_kenpom_rank_adj_em,source_kenpom_sos,source_kenpom_rank_sos,source_kenpom_conference,minutes,possessions,points,field_goal_attempts,free_throw_attempts,assists,offensive_rebounds,defensive_rebounds,rebounds,steals,blocks,turnovers,warp,win_shares,offensive_win_shares,defensive_win_shares,usage_pct,ortg_player,drtg_player,per,warp_per_40,win_shares_per_40,effective_fg_pct,true_shooting_pct,assist_pct,rebound_pct,turnover_pct,rapm,offensive_rapm,defensive_rapm,context_adjusted_points,context_adjusted_assists,context_adjusted_rebounds,context_adjusted_warp,context_adjusted_win_shares
2026,2027,Abilene Christian,abilene christian,Grand Canyon,grand canyon,2478445,Evan Boisdur,Freshman,G,73,1.25546,player_id,Evan Boisdur,Grand Canyon,Abilene Christian,13.5276,57.0,3.8097,100.0,MWC,72.55,122.163,17.0,21.0,4.0,4.0,0.0,5.0,5.0,4.0,0.0,4.0,-0.25991,0.0389,-0.1086,0.1475,0.18693,77.93,101.91,3.7996,-0.1433,0.0215,0.33333,0.37281,0.09344,0.04174,0.14948,-1.781,-1.484,-0.297,21.34282,5.02184,6.2773,-0.3263066086,0.048837394
2026,2027,Abilene Christian,abilene christian,New Mexico,new mexico,2543855,Timeo Pons,Freshman,G,80,1.34191,player_id,Timeo Pons,New Mexico,Abilene Christian,16.9146,46.0,5.5552,88.0,MWC,55.04,95.439,23.0,23.0,5.0,1.0,4.0,8.0,12.0,2.0,2.0,3.0,0.14251,0.1224,0.0071,0.1153,0.24901,98.17,101.25,12.9323,0.1036,0.0889,0.3913,0.45635,0.02805,0.12183,0.10638,,,,30.86393,1.34191,16.102919999999997,0.1912355941,0.16424978399999998
2026,2027,Adams St.,adams state,UCCS,uccs,1930435,Derik Pranger,Junior,F,81,1.0,player_id,Derik Pranger,UCCS,Adams St.,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026,2027,Adelphi,adelphi,Chestnut Hill,chestnut hill,2580078,Jeremiah Gorham,Freshman,G,72,1.0,player_id,Jeremiah Gorham,Chestnut Hill,Adelphi,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026,2027,Akron,akron,North Texas,north texas,2561230,Buddy Hammer Jr.,Junior,F,79,1.0450766666666667,player_id,Buddy Hammer Jr.,North Texas,Akron,2.7046,136.0,1.0251,128.0,Amer,395.12,636.676,115.0,65.0,64.0,11.0,40.0,39.0,79.0,12.0,14.0,18.0,1.07305,1.4665,0.7125,0.7541,0.14652,122.89,103.38,15.0101,0.1086,0.1485,0.50769,0.61695,0.05554,0.11683,0.16193,1.286,-0.499,1.785,120.18381666666667,11.495843333333333,82.56105666666667,1.1214195171666668,1.5326049316666666
2026,2027,Akron,akron,Ohio St.,ohio state,2291198,Colin White,Sophomore,F,78,1.45,player_id,Colin White,Ohio St.,Akron,22.2159,25.0,13.7133,22.0,B10,252.08,405.149,25.0,28.0,5.0,12.0,10.0,19.0,29.0,8.0,2.0,5.0,-0.51544,0.3587,0.0588,0.2998,0.07453,103.28,111.39,5.8956,-0.0818,0.0569,0.42857,0.41391,0.07305,0.07283,0.14205,-0.152,-0.188,0.036,36.25,17.4,42.05,-0.7473879999999999,0.520115
2026,2027,Akron,akron,Kansas St.,kansas state,2510656,Exavier Wilson,Freshman,G,73,1.1657333333333333,player_id,Exavier Wilson,Kansas St.,Akron,6.944,103.0,12.7102,31.0,B12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026,2027,Akron,akron,Western Mich.,western michigan,1903775,Max Burton,Junior,F,82,0.7637783333333333,player_id,Max Burton,Western Mich.,Akron,-9.3733,274.0,-1.7056,193.0,MAC,687.91,1162.26,154.0,128.0,44.0,49.0,45.0,95.0,140.0,5.0,15.0,34.0,-1.37032,0.8684,0.4637,0.4047,0.13277,107.37,118.07,11.0062,-0.0797,0.0505,0.48438,0.52239,0.12809,0.11546,0.18747,-2.285,0.657,-2.942,117.62186333333334,37.42513833333334,106.92896666666667,-1.0466207257333333,0.6632651046666667
2026,2027,Akron,akron,UIW,incarnate word,1697774,Tahj Staveskie,Junior,G,72,0.7786850000000001,player_id,Tahj Staveskie,UIW,Akron,-8.4789,265.0,-1.7156,194.0,Slnd,1000.77,1602.678,485.0,392.0,110.0,109.0,22.0,78.0,100.0,27.0,3.0,79.0,2.40285,2.1849,1.6331,0.5518,0.27255,110.34,118.47,17.2075,0.096,0.0873,0.50638,0.55064,0.24533,0.06096,0.1521,-1.22,-0.092,-1.128,377.66222500000003,84.876665,77.86850000000001,1.8710632522500001,1.7013488565000001
2026,2027,Akron,akron,Illinois St.,illinois state,2097919,Ty Pence,Junior,G,78,1.15303,player_id,Ty Pence,Illinois St.,Akron,7.3818,97.0,2.0255,114.0,MVC,825.7,1362.596,334.0,240.0,73.0,55.0,40.0,115.0,155.0,17.0,11.0,33.0,3.22229,3.3963,1.868,1.5282,0.1939,123.26,103.95,18.6551,0.1561,0.1645,0.58958,0.61374,0.1329,0.1111,0.10815,3.563,1.031,2.532,385.11202,63.41665,178.71965,3.7153970387,3.916035789
