updatedWhen,portalStatus,playerId,fullName,player_name,competitionId,divisionId,conferenceId,teamId,teamMarket,source_team,divisionIdTo,conferenceIdTo,teamIdTo,teamMarketTo,destination_team,eligibilityYear,createdWhen,updated,activeFlag,redshirtFlag,portalRecency,vcPlayerId,vcFirstName,vcLastName,vcTeamMarketFrom,vcTeamMarketTo,noMatch,rawStatus
2026-04-17 01:30:25+00:00,Active,2138991,Chappelle Whitney,Chappelle Whitney,41097,2,13,103259,AUM,AUM,,,,,,COLLEGE_JUNIOR,2026-04-17 00:45:11+00:00,2026-05-27 15:00:02.455807+00:00,True,False,1,287269,chappelle,whitney,AUM,,False,Active
2026-03-06 22:08:55+00:00,Active,1722384,Elhadji Thiam,Elhadji Thiam,41097,2,13,103259,AUM,AUM,,,,,,COLLEGE_JUNIOR,2026-03-02 21:01:29+00:00,2026-05-27 15:00:02.455807+00:00,True,True,1,283850,elhadji,thiam,AUM,,False,Active
2026-04-01 02:07:38+00:00,Active,2579910,Devin Barksdale,Devin Barksdale,41097,2,13,103259,AUM,AUM,,,,,,COLLEGE_FRESHMAN,2026-03-25 01:27:44+00:00,2026-05-27 15:00:02.455807+00:00,True,False,1,285045,devin,barksdale,AUM,,False,Active
2026-04-21 19:51:28+00:00,Active,2313792,Bradyn Hubbard,Bradyn Hubbard,41097,1,36,103260,Abilene Christian,Abilene Christian,,,,,,COLLEGE_SENIOR,2026-04-21 19:51:28+00:00,2026-05-27 15:00:02.747216+00:00,True,False,1,287592,bradyn,hubbard,Abilene Christian,,False,Active
2026-04-07 22:19:16+00:00,Active,1910131,Rich Smith,Rich Smith,41097,1,36,103260,Abilene Christian,Abilene Christian,,,,,,COLLEGE_SENIOR,2026-04-07 22:19:16+00:00,2026-05-27 15:00:02.747216+00:00,True,False,1,286533,rich,smith,Abilene Christian,,False,Active
2026-04-13 19:13:26+00:00,Active,2505135,Isaiah Carrillo,Isaiah Carrillo,41097,1,36,103260,Abilene Christian,Abilene Christian,,,,,,COLLEGE_FRESHMAN,2026-04-13 19:13:26+00:00,2026-05-27 15:00:02.747216+00:00,True,False,1,287053,isaiah,carrillo,Abilene Christian,,False,Active
2026-03-25 18:47:55+00:00,Active,2580062,Thomas Adams,Thomas Adams,41097,2,25,103262,Adams St.,Adams St.,,,,,,COLLEGE_FRESHMAN,2026-03-24 21:50:59+00:00,2026-05-27 15:00:02.455807+00:00,True,False,1,284977,thomas,adams,Adams St.,,False,Active
2026-04-01 02:31:37+00:00,Active,1949316,Zakari McQueen,Zakari McQueen,41097,2,71,103263,Adelphi,Adelphi,,,,,,COLLEGE_JUNIOR,2026-04-01 02:31:37+00:00,2026-05-27 15:00:02.455807+00:00,True,False,1,285556,zakari,mcqueen,Adelphi,,False,Active
2026-04-07 18:39:57+00:00,Active,2509082,Ognjen Stankovic,Ognjen Stankovic,41097,1,2,103266,Akron,Akron,,,,,,COLLEGE_FRESHMAN,2026-04-07 18:39:57+00:00,2026-05-27 15:00:02.747216+00:00,True,False,1,286397,ognjen,stankovic,Akron,,False,Active
2026-04-07 13:50:07+00:00,Active,1917732,Bowen Hardman,Bowen Hardman,41097,1,2,103266,Akron,Akron,,,,,,COLLEGE_JUNIOR,2026-04-07 13:50:07+00:00,2026-05-27 15:00:02.747216+00:00,True,True,1,286183,bowen,hardman,Akron,,False,Active
