source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_status,average_commits_used,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,on3_rank,industry_rank,score,on3_score,commits,applied_commits,avg_rating,on3_avg_rating,total_rating,on3_total_rating,five_stars,on3_five_stars,four_stars,on3_four_stars,three_stars,on3_three_stars,avg_nil_value,conference_rank
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,13002,Duke,Duke Blue Devils,duke-blue-devils,DUKE,1,1,1,98.450716845878,98,5,3,98.450716845878,98,96.885203366059,96,3,3,2,1,0,1,919356.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,3248,Arkansas,Arkansas Razorbacks,arkansas-razorbacks,ARK,2,2,2,98.178853046595,97.666666666667,4,3,98.178853046595,97.666666666667,98.097311827957,97.25,1,2,3,2,0,0,904628.25,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,20559,USC,USC Trojans,usc-trojans,USC,3,3,3,97.750806451613,97,3,3,97.750806451613,97,97.750806451613,97,1,1,2,2,0,0,923202,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,7567,Kansas,Kansas Jayhawks,kansas-jayhawks,KAN,4,5,4,96.970878136201,96,6,3,96.970878136201,96,92.335197522207,91,1,1,4,2,0,2,486610,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,1867,Alabama,Alabama Crimson Tide,alabama-crimson-tide,BAMA,5,9,5,96.397475455821,94.666666666667,3,3,96.397475455821,94.666666666667,96.397475455821,94.666666666667,0,0,3,3,0,0,377100,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,2122,Baylor,Baylor Bears,baylor-bears,BAY,6,6,6,96.395627465714,95.181666502647,2,2,97.213960963067,96,97.213960963067,96,1,1,1,1,0,0,701037.5,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,3376,Arizona,Arizona Wildcats,arizona-wildcats,ARIZ,7,7,7,96.353493290866,95.181666502647,2,2,97.171826788219,96,97.171826788219,96,1,1,1,1,0,0,846084,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,15421,Michigan,Michigan Wolverines,michigan-wolverines,MICH,8,4,8,96.307234689107,96.333333333333,6,3,96.307234689107,96.333333333333,91.640211547452,91.5,1,1,3,3,1,1,296742,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,17525,Missouri,Missouri Tigers,missouri-tigers,MIZZ,9,13,9,95.72796478105,94,3,3,95.72796478105,94,95.72796478105,94,1,1,2,1,0,1,584171,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,24966,Connecticut,Connecticut Huskies,connecticut-huskies,CONN,10,8,10,95.585161126303,94.681666502647,2,2,96.403494623656,95.5,96.403494623656,95.5,0,0,2,2,0,0,364781,1
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,15453,Michigan State,Michigan State Spartans,michigan-state-spartans,MSU,11,12,11,95.464399251987,94,4,3,95.464399251987,94,94.783444366526,93.25,0,0,4,4,0,0,194917,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,14710,Maryland,Maryland Terrapins,maryland-terrapins,MD,12,11,12,94.975705158174,94.333333333333,4,3,94.975705158174,94.333333333333,93.373445535297,92.75,1,1,2,2,1,1,630276,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,10179,Oklahoma State,Oklahoma State Cowboys,oklahoma-state-cowboys,OKST,13,15,13,94.861438366838,93.666666666667,4,3,94.861438366838,93.666666666667,93.713379499766,92.25,0,0,3,3,1,1,224061,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,23628,Texas,Texas Longhorns,texas-longhorns,TEX,14,20,14,94.611691600436,92.666666666667,4,3,94.611691600436,92.666666666667,90.958768700327,89.5,0,0,3,2,0,1,453084,4
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,12005,Louisville,Louisville Cardinals,louisville-cardinals,LOU,15,18,15,94.431462319719,93.230387050902,1,1,98.201075268817,97,98.201075268817,97,1,0,0,1,0,0,824395,2
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,8786,Purdue,Purdue Boilermakers,purdue-boilermakers,PUR,16,19,16,94.027536231884,93,5,3,94.027536231884,93,92.02731884058,90.8,0,0,3,3,2,2,98027,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,7493,Houston,Houston Cougars,houston-cougars,HOU,17,16,17,93.796092410784,93.333333333333,3,3,93.796092410784,93.333333333333,93.796092410784,93.333333333333,0,0,2,2,1,1,319695,5
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,9533,Ohio State,Ohio State Buckeyes,ohio-state-buckeyes,OHST,18,21,18,93.574367531165,92.181666502647,2,2,94.392701028518,93,94.392701028518,93,1,1,0,0,1,1,999058,6
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,19,23,19,93.104347826087,92,5,3,93.104347826087,92,90.110652173913,89,0,0,4,3,0,1,62823.333333333336,3
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,20,31,20,92.972946859903,90.666666666667,3,3,92.972946859903,90.666666666667,92.972946859903,90.666666666667,0,0,3,3,0,0,,7
on3_hs_recruiting,https://www.on3.com/rivals/rankings/industry-team/basketball/2026/,2026-05-08T15:10:37+00:00,2026,579,2026-05-08T15:07:48+00:00,Published,3,21058,Vanderbilt,Vanderbilt Commodores,vanderbilt-commodores,VAN,21,24,21,92.874516908213,92,3,3,92.874516908213,92,92.874516908213,92,0,0,3,3,0,0,,5
