source,source_url,captured_at,ranking_year,ranking_key,ranking_date_updated,ranking_date_scheduled,ranking_status,ranking_staleness,organization_key,team,team_full_name,team_slug,team_abbreviation,rank,index_score,raw_score,date,date_modified,transfers_in,transfers_in_avg_rating,raw_score_in,transfers_out,transfers_out_avg_rating,raw_score_out,five_stars_net,five_stars_in,five_stars_out,four_stars_net,four_stars_in,four_stars_out,three_stars_net,three_stars_in,three_stars_out,original_nil_valuation,adjusted_nil_valuation,nil_valuation_change
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",8776,Indiana,Indiana Hoosiers,indiana-hoosiers,IND,1,42,457.398,2026-04-22,2026-04-22T02:53:48+00:00,6,93.333,482.353,7,64.857,24.955,0,0,0,5,6,1,0,0,0,0,4449642,4449642
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",6016,Xavier,Xavier Musketeers,xavier-musketeers,Xavier,2,31,346.09,2026-04-22,2026-04-22T02:53:23+00:00,5,92.6,398.63,5,66.4,52.54,0,0,0,5,5,0,-2,0,2,0,1809529,1809529
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",24078,UCLA,UCLA Bruins,ucla-bruins,UCLA,3,27,298.327,2026-04-22,2026-04-22T02:55:45+00:00,4,92,303.03,2,66,4.704,0,0,0,4,4,0,0,0,0,0,1418248,1418248
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",19484,Florida State,Florida State Seminoles,florida-state-seminoles,FSU,4,25,275.667,2026-04-22,2026-04-22T02:55:01+00:00,4,93,323.69,8,64.625,48.023,0,0,0,4,4,0,-2,0,2,0,1317981,1317981
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",7576,Kansas State,Kansas State Wildcats,kansas-state-wildcats,KSST,5,24,267.217,2026-04-22,2026-04-22T02:53:37+00:00,9,80.556,389.095,9,69,121.878,0,0,0,3,4,1,2,3,1,2585231,544052,-2041179
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",6900,West Virginia,West Virginia Mountaineers,west-virginia-mountaineers,WVU,6,23,252.841,2026-04-22,2026-04-22T02:53:26+00:00,3,94,253.206,7,61.143,0.366,0,0,0,3,3,0,0,0,0,0,1519888,1519888
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",7493,Houston,Houston Cougars,houston-cougars,HOU,7,23,252.162,2026-04-22,2026-04-22T02:53:32+00:00,4,93.75,293.617,3,74.667,41.455,0,0,0,3,4,1,0,0,0,0,912458,912458
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",21364,BYU,BYU Cougars,byu-cougars,BYU,8,22,239.531,2026-04-22,2026-04-22T02:55:30+00:00,3,92,222.747,8,64.125,-16.784,0,0,0,1,2,1,0,1,1,4206384,4219686,13302
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",8288,Iowa State,Iowa State Cyclones,iowa-state-cyclones,ISU,9,21,235.497,2026-04-22,2026-04-22T02:53:44+00:00,5,87,280.647,4,69.25,45.15,0,0,0,2,3,1,1,1,0,2010743,1185920,-824823
on3_transfer_portal,https://www.on3.com/transfer-portal/team-rankings/basketball/2026/,2026-04-22T03:42:34+00:00,2026,645,2026-04-22T02:58:11+00:00,2026-04-23T02:00:00+00:00,Draft,"On300, Consensus",16266,South Carolina,South Carolina Gamecocks,south-carolina-gamecocks,SC,10,21,231.721,2026-04-22,2026-04-22T02:54:43+00:00,4,92,304.069,8,68.5,72.347,0,0,0,3,4,1,-1,0,1,0,633669,633669
